United States Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost values are in billions of dollars
Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95"
1992,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5.9,5.5,6.6,5.1,7.0,4.7,7.2,2,56.0,49.9,60.8,48.2,62.9,47.1,64.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.6,4.1,5.0,3.9,5.2,3.8,5.4
1993,1,2.3,2.3,2.7,2.2,2.9,2.1,2.9,1,37.7,26.7,35.9,25.0,37.7,23.9,38.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.1,1.0,1.1,0.9,1.3,0.8,1.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.5,1.8,2.6,1.7,2.7,1.7,2.8,1,9.9,9.2,10.6,9.0,10.9,8.8,11.1
1994,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8,1.8,2.5,1.7,2.7,1.6,2.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.7,1.6,1.7,1.5,1.9,1.4,2.0,1,1.8,1.5,2.1,1.4,2.2,1.4,2.2,1,1.3,1.1,1.5,1.0,1.6,0.9,1.8,2,7.1,6.1,7.6,6.0,7.9,5.8,8.0
1995,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.3,2.7,4.2,2.5,4.4,2.4,4.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.4,7.1,9.7,6.7,10.3,6.4,10.7,3,13.1,12.0,15.3,11.6,16.4,11.2,17.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,1,3.0,2.9,3.9,2.8,4.2,2.7,4.4,1,1.7,1.6,2.3,1.5,2.4,1.4,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.4,7.7,9.9,7.2,10.4,6.9,10.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0,4.1,5.4,3.9,5.8,3.8,6.0
1997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10.9,10.1,14.7,9.4,15.4,8.8,16.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.6,1.5,1.7,1.4,1.8,1.3,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,1,5.6,4.7,5.8,4.6,6.1,4.5,6.3,1,1.5,1.3,1.9,1.2,2.0,1.2,2.1,1,4.0,3.2,4.7,3.1,4.9,3.0,4.9,3,6.0,5.5,6.2,5.2,6.8,5.1,7.0,3,12.2,10.6,13.8,10.0,14.6,9.7,14.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.2,1.8,2.2,1.8,2.3,1.6,2.5
1999,1,3.9,3.6,4.2,3.5,4.3,3.4,4.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.2,2.7,3.4,2.6,3.5,2.5,3.8,1,10.2,8.9,11.0,8.6,11.5,8.4,11.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,2.9,3.4,2.6,3.7,2.5,4.1
2000,1,7.6,7.1,8.2,6.9,8.5,6.8,8.7,1,1.4,0.8,1.4,1.0,1.6,0.8,1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.6,1.5,1.8,1.5,1.9,1.4,2.0,1,1.1,0.9,1.1,0.8,1.2,0.7,1.3
2001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.5,4.3,4.9,4.2,5.0,4.1,5.1,1,12.5,10.6,13.4,10.1,14.1,9.9,14.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
